Protein.Names,Exo1_92.1_Control_rep1,Exo1_92.1_Control_rep2,Exo2_IBUD_rep1,Exo2_IBUD_rep2,Exo3_Control_rep1,Exo3_Control_rep2,Exo4_IBUD_rep1,Exo4_IBUD_rep2,Exo5_Control_rep1,Exo5_Control_rep2,Exo6_IBUD_rep1,Exo6_IBUD_rep2
PKHF1_HUMAN,8.96E+03,6.88E+03,6.95E+03,6.76E+03,8.85E+03,1.19E+04,9.50E+03,1.23E+04,6.18E+03,7.42E+03,8.33E+03,8.18E+03
NEB2_HUMAN,8.86E+03,7.32E+03,8.35E+03,8.59E+03,3.69E+03,4.81E+03,3.49E+03,4.73E+03,9.60E+03,1.13E+04,1.20E+04,1.51E+04
SRPK1_HUMAN,1.22E+04,1.21E+04,1.94E+04,1.64E+04,5.24E+03,5.18E+03,5.83E+03,5.82E+03,5.65E+03,5.89E+03,6.99E+03,7.56E+03
CPXM1_HUMAN,,,3.83E+03,,,,,,,,,
CEP89_HUMAN,4.00E+03,,5.08E+03,3.89E+03,2.56E+03,2.95E+03,3.67E+03,5.18E+03,7.31E+03,,9.25E+03,
OSBL9_HUMAN,2.51E+03,3.87E+03,3.18E+03,4.68E+03,6.62E+03,8.91E+03,7.52E+03,1.02E+04,6.04E+03,4.61E+03,4.74E+03,5.84E+03
INT14_HUMAN,,6.45E+02,,8.44E+02,6.18E+02,6.84E+02,7.49E+02,1.30E+03,,,7.22E+02,7.14E+02
AEDO_HUMAN,,2.97E+03,2.97E+03,3.12E+03,4.72E+03,4.20E+03,3.86E+03,3.66E+03,3.21E+03,2.59E+03,2.82E+03,2.78E+03
PP16B_HUMAN,5.32E+03,,,,,,,,7.27E+03,7.71E+03,7.21E+03,8.50E+03
RUFY1_HUMAN,1.84E+04,1.70E+04,2.88E+04,2.43E+04,8.71E+03,8.70E+03,6.56E+03,9.65E+03,8.16E+03,8.06E+03,1.09E+04,1.25E+04
IMP2L_HUMAN,2.30E+04,1.97E+04,2.65E+04,2.52E+04,,1.19E+04,1.08E+04,,2.88E+04,3.04E+04,3.40E+04,3.03E+04
PNKP_HUMAN,1.19E+03,,2.80E+03,2.17E+03,1.81E+03,1.86E+03,2.31E+03,2.42E+03,,2.09E+03,1.43E+03,2.04E+03
MMS19_HUMAN,8.79E+03,9.37E+03,9.90E+03,9.66E+03,9.60E+03,1.06E+04,9.26E+03,1.16E+04,7.64E+03,9.62E+03,9.95E+03,1.12E+04
UHRF1_HUMAN,5.95E+03,3.67E+03,4.60E+03,2.93E+03,1.36E+03,1.19E+03,1.46E+03,1.34E+03,,1.81E+03,1.18E+03,1.15E+03
NIBA2_HUMAN,3.66E+04,3.57E+04,3.47E+04,3.38E+04,1.11E+05,1.35E+05,1.33E+05,1.69E+05,3.47E+04,3.74E+04,4.02E+04,4.77E+04
SCN2A_HUMAN,8.62E+03,1.15E+04,9.51E+03,,3.04E+03,4.44E+03,3.57E+03,4.13E+03,2.98E+03,3.08E+03,3.37E+03,3.67E+03
MYCBP_HUMAN,9.93E+03,1.05E+04,7.98E+03,9.60E+03,8.17E+03,6.56E+03,7.59E+03,9.11E+03,1.25E+04,1.30E+04,1.15E+04,1.49E+04
TBCB_HUMAN,2.17E+04,2.12E+04,2.26E+04,2.48E+04,2.42E+04,2.61E+04,2.23E+04,2.60E+04,1.32E+04,1.36E+04,1.40E+04,1.53E+04
PSB7_HUMAN,3.34E+04,3.51E+04,2.97E+04,3.14E+04,1.98E+04,2.08E+04,2.21E+04,2.14E+04,4.39E+04,4.47E+04,3.48E+04,3.60E+04
CNN2_HUMAN,1.89E+04,1.77E+04,1.49E+04,1.42E+04,1.42E+04,1.47E+04,1.63E+04,1.41E+04,1.65E+04,1.26E+04,1.63E+04,1.93E+04
SEC62_HUMAN,2.38E+03,1.91E+03,3.07E+03,1.69E+03,,1.51E+03,1.55E+03,3.91E+03,,2.17E+03,2.41E+03,2.02E+03
PCY2_HUMAN,1.21E+04,1.10E+04,1.11E+04,1.21E+04,5.31E+03,6.37E+03,5.99E+03,7.30E+03,8.02E+03,9.24E+03,7.70E+03,1.05E+04
CDC5L_HUMAN,1.92E+04,1.79E+04,1.90E+04,1.90E+04,2.29E+03,2.29E+03,3.24E+03,2.80E+03,3.52E+03,4.04E+03,8.29E+03,7.54E+03
PSMD1_HUMAN,1.80E+04,1.69E+04,1.65E+04,1.93E+04,1.15E+04,1.22E+04,1.33E+04,1.45E+04,2.05E+04,2.12E+04,1.77E+04,2.09E+04
PFD5_HUMAN,1.66E+04,1.91E+04,2.05E+04,2.20E+04,2.77E+04,2.82E+04,2.63E+04,3.43E+04,2.29E+04,2.58E+04,2.36E+04,2.56E+04
RING2_HUMAN,2.48E+03,,3.12E+03,2.16E+03,,1.24E+03,,2.51E+03,,2.31E+03,2.75E+03,3.61E+03
PARK7_HUMAN,1.12E+05,1.17E+05,1.19E+05,1.14E+05,1.21E+05,1.36E+05,1.27E+05,1.53E+05,1.20E+05,1.31E+05,1.24E+05,1.50E+05
NEUR1_HUMAN,4.86E+04,4.83E+04,6.06E+04,6.23E+04,2.63E+03,2.49E+03,3.48E+03,5.56E+03,1.46E+04,1.58E+04,3.25E+04,3.23E+04
SORT_HUMAN,1.33E+05,1.34E+05,1.29E+05,1.36E+05,1.60E+04,1.72E+04,1.91E+04,2.16E+04,2.39E+04,2.80E+04,4.11E+04,4.71E+04
VAT1_HUMAN,4.47E+05,4.45E+05,4.53E+05,4.39E+05,7.49E+05,8.12E+05,7.21E+05,8.06E+05,6.04E+05,6.22E+05,6.25E+05,7.18E+05
LGMN_HUMAN,3.83E+03,4.41E+03,4.80E+03,5.60E+03,1.52E+03,2.58E+03,2.06E+03,2.04E+03,1.69E+03,1.79E+03,1.67E+03,1.68E+03
PLIN2_HUMAN,5.13E+03,5.52E+03,9.81E+03,6.98E+03,3.42E+03,3.02E+03,2.91E+03,3.51E+03,,2.61E+03,,
DNJC2_HUMAN,9.55E+03,8.25E+03,9.97E+03,1.02E+04,7.97E+03,7.06E+03,7.26E+03,8.08E+03,7.44E+03,6.77E+03,8.77E+03,8.83E+03
NUP88_HUMAN,,6.53E+03,5.90E+03,4.84E+03,2.62E+03,3.28E+03,4.31E+03,4.09E+03,2.82E+03,3.28E+03,3.87E+03,2.53E+03
PKP4_HUMAN,8.89E+03,7.44E+03,6.64E+03,6.51E+03,1.65E+04,1.72E+04,1.55E+04,1.75E+04,8.41E+03,8.54E+03,9.54E+03,1.10E+04
PI3R4_HUMAN,4.37E+03,7.19E+03,8.57E+03,7.80E+03,3.84E+03,3.76E+03,4.01E+03,5.27E+03,3.48E+03,4.27E+03,4.93E+03,4.59E+03
P2RX4_HUMAN,1.15E+04,1.00E+04,1.11E+04,1.05E+04,1.16E+03,2.21E+03,2.69E+03,3.13E+03,5.95E+03,6.17E+03,7.71E+03,6.38E+03
P2RX7_HUMAN,1.31E+05,1.27E+05,1.05E+05,1.13E+05,5.46E+04,5.66E+04,4.63E+04,5.46E+04,1.33E+05,1.40E+05,1.27E+05,1.42E+05
POP1_HUMAN,1.12E+04,1.29E+04,1.09E+04,1.36E+04,3.34E+03,2.98E+03,4.66E+03,4.20E+03,5.93E+03,7.18E+03,2.09E+04,2.10E+04
S10AD_HUMAN,,5.65E+03,9.01E+03,7.03E+03,6.94E+04,6.53E+04,6.73E+04,7.59E+04,4.12E+04,5.03E+04,4.65E+04,5.64E+04
TSNAX_HUMAN,7.25E+03,8.09E+03,9.18E+03,9.77E+03,9.70E+03,1.15E+04,1.04E+04,1.29E+04,1.23E+04,1.43E+04,1.49E+04,1.70E+04
TTC1_HUMAN,1.68E+04,1.64E+04,1.86E+04,1.78E+04,2.35E+04,2.52E+04,2.35E+04,2.89E+04,1.44E+04,1.67E+04,1.60E+04,2.06E+04
DNJC7_HUMAN,3.61E+04,3.57E+04,3.68E+04,3.64E+04,4.16E+04,4.33E+04,4.06E+04,3.90E+04,2.22E+04,2.26E+04,1.77E+04,2.02E+04
CDCA3_HUMAN,1.29E+04,1.08E+04,1.54E+04,1.56E+04,3.89E+04,4.05E+04,3.77E+04,3.97E+04,2.64E+04,2.60E+04,2.63E+04,2.68E+04
C10_HUMAN,1.53E+04,1.83E+04,1.60E+04,1.74E+04,1.73E+04,1.92E+04,1.64E+04,1.89E+04,1.79E+04,1.81E+04,1.97E+04,2.32E+04
PHB2_HUMAN,1.45E+04,1.58E+04,2.20E+04,2.31E+04,4.67E+03,4.66E+03,5.22E+03,5.60E+03,4.76E+03,5.97E+03,9.68E+03,1.22E+04
CSN8_HUMAN,1.03E+04,8.51E+03,1.22E+04,1.25E+04,1.87E+04,1.67E+04,1.62E+04,1.07E+04,1.08E+04,1.04E+04,9.64E+03,1.00E+04
OSMR_HUMAN,,,,,3.02E+03,3.61E+03,3.14E+03,4.23E+03,,,,1.44E+03
CHP1_HUMAN,4.07E+04,4.20E+04,4.22E+04,4.34E+04,2.16E+04,2.38E+04,2.60E+04,2.78E+04,2.51E+04,2.79E+04,3.02E+04,3.41E+04
KIF2C_HUMAN,1.01E+04,8.70E+03,7.75E+03,9.92E+03,1.06E+04,1.05E+04,1.15E+04,1.41E+04,1.07E+04,1.23E+04,1.28E+04,1.44E+04
I12R2_HUMAN,8.95E+03,,7.19E+03,1.05E+04,9.07E+03,,9.72E+03,5.24E+03,4.92E+03,,,
CGRE1_HUMAN,1.29E+03,8.55E+02,1.88E+03,1.57E+03,,,,,9.00E+02,4.92E+02,1.10E+03,1.12E+03
LYST_HUMAN,5.65E+03,6.08E+03,8.59E+03,8.69E+03,2.06E+03,2.03E+03,3.42E+03,3.59E+03,1.57E+03,2.07E+03,2.10E+03,2.45E+03
ATX2_HUMAN,1.30E+04,8.23E+03,9.57E+03,1.27E+04,2.80E+03,4.47E+03,5.13E+03,6.51E+03,4.99E+03,3.64E+03,7.08E+03,5.45E+03
DOK1_HUMAN,,,,,,,,,,,,
METH_HUMAN,1.05E+04,1.01E+04,1.31E+04,1.05E+04,4.86E+03,5.97E+03,5.56E+03,6.10E+03,8.30E+03,7.95E+03,8.14E+03,9.18E+03
HCD2_HUMAN,4.13E+03,4.42E+03,9.69E+03,1.04E+04,2.83E+03,2.15E+03,2.27E+03,3.25E+03,6.47E+03,6.96E+03,5.42E+03,6.27E+03
SMAD5_HUMAN,1.55E+04,1.42E+04,1.48E+04,1.39E+04,1.27E+04,1.38E+04,1.20E+04,1.40E+04,1.01E+04,9.41E+03,9.46E+03,1.07E+04
SEPT5_HUMAN,7.63E+03,7.60E+03,7.59E+03,7.53E+03,,,,,7.45E+03,8.39E+03,1.18E+04,1.10E+04
SGMR1_HUMAN,1.47E+04,1.14E+04,1.32E+04,1.20E+04,,,,,,,,
ROAA_HUMAN,2.00E+04,1.72E+04,2.23E+04,2.01E+04,1.19E+04,1.40E+04,1.50E+04,2.03E+04,1.39E+04,1.43E+04,1.46E+04,1.63E+04
LITAF_HUMAN,1.49E+05,1.29E+05,1.30E+05,9.51E+04,8.64E+04,5.42E+04,6.70E+04,2.08E+04,6.88E+04,5.03E+04,3.08E+04,4.66E+03
NP1L4_HUMAN,2.50E+04,2.55E+04,3.64E+04,3.32E+04,4.47E+04,4.86E+04,4.43E+04,4.87E+04,2.85E+04,3.25E+04,3.25E+04,3.91E+04
MGST2_HUMAN,1.10E+04,1.00E+04,1.48E+04,1.65E+04,4.67E+03,,6.26E+03,6.33E+03,,8.74E+03,1.70E+04,1.96E+04
SNAG_HUMAN,3.93E+04,3.71E+04,4.49E+04,3.87E+04,3.43E+04,3.60E+04,3.92E+04,4.24E+04,3.03E+04,3.15E+04,3.17E+04,3.62E+04
PI51A_HUMAN,7.76E+04,7.67E+04,7.05E+04,6.64E+04,4.12E+04,4.27E+04,4.42E+04,4.83E+04,6.25E+04,6.74E+04,7.49E+04,8.23E+04
THIOM_HUMAN,4.94E+03,,6.46E+03,7.15E+03,1.57E+03,,1.50E+03,1.02E+03,4.14E+03,4.88E+03,3.35E+03,4.06E+03
M3K3_HUMAN,7.57E+03,6.73E+03,6.66E+03,7.41E+03,7.06E+03,4.75E+03,6.95E+03,5.35E+03,7.22E+03,6.04E+03,9.07E+03,1.18E+04
ACON_HUMAN,6.51E+03,6.20E+03,1.19E+04,1.25E+04,3.48E+03,3.25E+03,4.20E+03,3.79E+03,1.15E+04,1.21E+04,9.41E+03,9.23E+03
TM9S2_HUMAN,5.87E+04,6.01E+04,5.92E+04,6.21E+04,1.35E+04,1.45E+04,1.77E+04,1.94E+04,1.82E+04,1.85E+04,2.35E+04,2.62E+04
S29A1_HUMAN,2.36E+05,2.55E+05,2.38E+05,2.47E+05,2.29E+05,2.53E+05,2.33E+05,2.69E+05,1.93E+05,2.04E+05,1.98E+05,2.21E+05
TS101_HUMAN,1.50E+05,1.48E+05,1.70E+05,1.65E+05,2.01E+05,2.19E+05,1.93E+05,2.08E+05,2.84E+05,2.95E+05,2.61E+05,2.62E+05
CIB1_HUMAN,3.80E+04,3.61E+04,3.45E+04,3.36E+04,1.32E+04,1.50E+04,1.36E+04,1.50E+04,2.39E+04,2.46E+04,2.66E+04,3.04E+04
CPNE1_HUMAN,8.02E+04,8.39E+04,7.09E+04,7.02E+04,5.09E+04,5.60E+04,5.15E+04,5.80E+04,3.05E+04,3.07E+04,3.33E+04,3.53E+04
TCPH_HUMAN,4.12E+04,4.08E+04,5.50E+04,5.47E+04,3.00E+04,3.21E+04,3.28E+04,3.83E+04,4.24E+04,4.53E+04,4.41E+04,5.00E+04
MYD88_HUMAN,,,,,2.16E+03,2.87E+03,2.62E+03,3.09E+03,3.15E+03,3.52E+03,2.66E+03,3.69E+03
EBP2_HUMAN,6.85E+03,5.31E+03,7.36E+03,6.98E+03,2.78E+03,2.38E+03,3.97E+03,4.38E+03,5.17E+03,4.36E+03,1.18E+04,1.28E+04
ANM1_HUMAN,3.64E+04,4.04E+04,5.22E+04,5.22E+04,2.10E+04,2.47E+04,2.23E+04,2.96E+04,1.43E+04,1.60E+04,1.72E+04,1.92E+04
BAG1_HUMAN,,,,,3.21E+03,3.61E+03,4.39E+03,3.30E+03,,1.77E+03,2.63E+03,
PROL1_HUMAN,,,,,,,6.74E+03,1.18E+04,,,,
EGFL8_HUMAN,,,,,,,,,,2.77E+03,4.49E+03,3.94E+03
SH3G1_HUMAN,5.89E+04,5.20E+04,6.54E+04,6.08E+04,1.67E+05,1.84E+05,1.79E+05,2.09E+05,7.96E+04,8.70E+04,7.34E+04,8.81E+04
CITE1_HUMAN,6.25E+02,,1.18E+03,1.33E+03,2.93E+02,,,,1.45E+03,1.66E+03,2.31E+03,2.42E+03
TEP1_HUMAN,,,,,,1.07E+03,,1.55E+03,,,,
SEM3C_HUMAN,,2.80E+03,,4.79E+03,3.22E+03,4.79E+03,9.42E+03,1.02E+04,1.00E+04,1.04E+04,1.44E+04,1.55E+04
VRK1_HUMAN,,4.45E+03,3.30E+03,3.50E+03,3.59E+03,,2.79E+03,1.44E+03,1.31E+03,2.46E+03,3.91E+03,5.12E+03
GDF15_HUMAN,,,,,1.41E+04,1.62E+04,1.71E+04,2.14E+04,3.85E+05,4.10E+05,5.39E+05,6.38E+05
DPYL5_HUMAN,,6.07E+03,7.90E+03,8.48E+03,,,,,8.58E+03,8.56E+03,7.92E+03,1.11E+04
NIPS1_HUMAN,5.50E+03,3.52E+04,2.17E+04,2.24E+04,1.12E+04,6.00E+03,8.02E+03,9.41E+03,1.99E+04,1.84E+04,1.56E+04,1.64E+04
CND3_HUMAN,3.81E+03,4.59E+03,6.41E+03,5.24E+03,5.07E+03,5.50E+03,5.48E+03,6.94E+03,4.28E+03,4.84E+03,4.24E+03,6.07E+03
ARP5L_HUMAN,1.40E+04,9.70E+03,2.86E+04,2.55E+04,2.38E+04,2.26E+04,2.96E+04,2.92E+04,3.08E+04,3.62E+04,4.34E+04,3.99E+04
SIN1_HUMAN,5.23E+03,3.60E+03,4.12E+03,3.94E+03,7.76E+03,7.62E+03,7.40E+03,8.28E+03,6.33E+03,5.85E+03,5.63E+03,5.50E+03
RBM4B_HUMAN;RBM4_HUMAN,3.61E+03,,4.03E+03,4.19E+03,,,,2.83E+03,,,2.49E+03,
TICN3_HUMAN,3.54E+03,4.60E+03,5.66E+03,6.06E+03,,,,,,,,
DDX50_HUMAN,1.78E+04,1.76E+04,1.72E+04,1.65E+04,7.66E+03,1.42E+04,8.94E+03,8.47E+03,7.88E+03,8.57E+03,1.02E+04,1.36E+04
TRIR_HUMAN,,2.35E+03,,,4.25E+04,6.25E+04,4.28E+04,3.64E+04,3.35E+04,4.47E+04,2.70E+04,3.21E+04
GRWD1_HUMAN,2.27E+03,1.77E+03,2.94E+03,2.62E+03,2.57E+03,2.36E+03,3.49E+03,3.53E+03,2.67E+03,2.41E+03,2.46E+03,2.61E+03
MACD1_HUMAN,4.47E+03,3.87E+03,4.19E+03,5.68E+03,2.22E+03,2.67E+03,2.53E+03,3.23E+03,,2.05E+03,1.79E+03,1.20E+03
TCF25_HUMAN,3.71E+03,2.70E+03,3.67E+03,4.63E+03,1.17E+03,8.40E+02,1.22E+03,1.25E+03,1.38E+03,1.24E+03,2.01E+03,2.84E+03
MEP50_HUMAN,8.38E+03,7.89E+03,7.94E+03,9.32E+03,8.75E+03,9.63E+03,8.16E+03,9.25E+03,1.05E+04,1.11E+04,9.89E+03,7.90E+03
VKOR1_HUMAN,4.57E+03,4.89E+03,4.45E+03,6.14E+03,1.91E+03,2.69E+03,,2.04E+03,1.88E+03,2.43E+03,3.02E+03,4.02E+03
TBA1C_HUMAN,7.62E+05,7.48E+05,7.79E+05,7.50E+05,5.95E+05,6.58E+05,5.80E+05,6.76E+05,7.45E+05,7.53E+05,6.73E+05,7.34E+05
APOL2_HUMAN,6.36E+03,6.45E+03,5.49E+03,7.33E+03,6.72E+03,7.02E+03,8.38E+03,1.01E+04,2.68E+03,2.93E+03,2.55E+03,3.48E+03
MBB1A_HUMAN,2.91E+04,3.27E+04,3.65E+04,3.52E+04,6.08E+03,7.70E+03,1.43E+04,1.79E+04,1.12E+04,1.23E+04,3.60E+04,4.02E+04
NUD12_HUMAN,,,,,,3.68E+02,5.63E+02,6.61E+02,5.97E+02,7.69E+02,4.90E+02,6.20E+02
AIF1L_HUMAN,3.74E+03,3.56E+03,3.16E+03,3.44E+03,,,,,9.24E+03,9.33E+03,9.26E+03,8.85E+03
TMM47_HUMAN,,,,,6.02E+03,6.27E+03,5.76E+03,7.32E+03,,,,
FERM1_HUMAN,1.95E+04,2.08E+04,1.97E+04,1.91E+04,,,,,,,,
FYCO1_HUMAN,,3.20E+03,2.76E+03,2.64E+03,1.62E+03,1.85E+03,1.93E+03,2.67E+03,1.32E+03,1.14E+03,1.07E+03,1.39E+03
COR1B_HUMAN,5.15E+04,4.84E+04,5.22E+04,5.49E+04,3.18E+04,3.74E+04,3.46E+04,4.02E+04,7.35E+04,7.94E+04,8.30E+04,8.95E+04
TXD17_HUMAN,2.23E+04,2.35E+04,2.28E+04,2.51E+04,6.40E+04,7.15E+04,5.74E+04,6.37E+04,6.07E+04,6.55E+04,5.92E+04,6.58E+04
CPPED_HUMAN,5.26E+03,6.57E+03,7.06E+03,5.63E+03,1.61E+04,1.83E+04,1.68E+04,2.20E+04,1.76E+04,1.89E+04,1.90E+04,1.92E+04
VPS25_HUMAN,4.93E+04,4.35E+04,6.53E+04,6.86E+04,7.87E+04,8.66E+04,8.81E+04,1.05E+05,1.14E+05,1.24E+05,1.21E+05,1.43E+05
RM45_HUMAN,4.85E+03,,4.10E+03,3.54E+03,,,,,2.43E+03,,2.51E+03,3.66E+03
TIRR_HUMAN,1.59E+03,,3.76E+03,3.17E+03,1.24E+03,,1.09E+03,2.33E+03,2.77E+03,3.27E+03,3.53E+03,
LZTS2_HUMAN,,,,5.69E+03,3.46E+03,3.93E+03,,3.86E+03,,,3.38E+03,
CAB45_HUMAN,9.76E+03,7.05E+03,8.23E+03,6.31E+03,3.67E+03,3.41E+03,4.91E+03,5.36E+03,5.60E+03,6.29E+03,8.26E+03,9.73E+03
PDD2L_HUMAN,,,,6.65E+02,9.06E+02,8.17E+02,9.97E+02,1.33E+03,8.05E+02,1.16E+03,,
PAAF1_HUMAN,5.42E+03,3.68E+03,5.25E+03,4.21E+03,4.15E+03,4.23E+03,4.33E+03,5.29E+03,5.97E+03,6.79E+03,5.85E+03,6.70E+03
PYM1_HUMAN,1.78E+03,1.98E+03,2.13E+03,2.71E+03,4.69E+03,6.73E+03,5.10E+03,5.79E+03,4.79E+03,3.97E+03,4.74E+03,4.90E+03
MIC25_HUMAN,,,,,,9.99E+02,9.58E+02,1.46E+03,,1.08E+03,1.47E+03,1.39E+03
FSP1_HUMAN,1.43E+04,1.67E+04,1.47E+04,1.46E+04,2.71E+04,3.37E+04,3.50E+04,4.61E+04,2.97E+04,3.18E+04,3.40E+04,3.69E+04
RIOK1_HUMAN,6.63E+03,5.74E+03,8.92E+03,8.52E+03,2.75E+03,1.93E+03,2.45E+03,2.78E+03,4.16E+03,,2.53E+03,4.34E+03
MIEN1_HUMAN,2.58E+04,2.51E+04,2.95E+04,2.81E+04,2.23E+04,2.75E+04,1.91E+04,2.76E+04,1.57E+04,1.89E+04,1.49E+04,1.81E+04
SLD5_HUMAN,,,2.15E+03,1.90E+03,8.20E+02,1.74E+03,1.96E+03,1.71E+03,1.67E+03,2.46E+03,2.42E+03,3.10E+03
UTP23_HUMAN,4.81E+03,2.36E+03,5.21E+03,4.73E+03,,1.30E+03,2.04E+03,2.89E+03,4.77E+03,4.68E+03,6.61E+03,6.35E+03
PELO_HUMAN,2.85E+03,3.71E+03,4.61E+03,4.33E+03,3.85E+03,4.90E+03,4.79E+03,6.60E+03,5.48E+03,5.83E+03,5.09E+03,6.25E+03
PSF3_HUMAN,,9.68E+02,2.75E+03,1.29E+03,1.39E+03,1.65E+03,9.66E+02,2.06E+03,1.97E+03,2.61E+03,1.70E+03,1.88E+03
PXL2A_HUMAN,2.53E+04,2.63E+04,2.65E+04,2.64E+04,8.72E+03,5.61E+03,,,1.74E+04,1.65E+04,1.76E+04,1.92E+04
S39A3_HUMAN,1.05E+04,,9.97E+03,1.14E+04,2.60E+03,,5.22E+03,4.74E+03,3.99E+03,3.94E+03,5.56E+03,4.63E+03
TRI56_HUMAN,,1.71E+03,2.99E+03,3.13E+03,2.13E+03,1.54E+03,2.92E+03,3.64E+03,4.28E+03,3.06E+03,2.80E+03,
APC13_HUMAN,3.69E+03,4.59E+03,4.65E+03,4.38E+03,2.24E+03,3.64E+03,2.55E+03,4.08E+03,1.43E+03,1.95E+03,2.00E+03,3.07E+03
ERP44_HUMAN,4.46E+04,4.53E+04,4.15E+04,4.50E+04,6.71E+03,8.17E+03,1.11E+04,1.40E+04,1.81E+04,2.17E+04,3.88E+04,4.35E+04
LXN_HUMAN,6.62E+03,4.58E+03,6.17E+03,5.44E+03,1.28E+04,1.35E+04,1.38E+04,1.46E+04,9.71E+03,1.04E+04,1.13E+04,1.23E+04
TTYH2_HUMAN,9.66E+04,9.53E+04,1.53E+05,1.59E+05,1.21E+05,1.33E+05,1.47E+05,1.60E+05,2.37E+05,2.53E+05,2.20E+05,2.35E+05
TM175_HUMAN,2.61E+03,1.35E+03,3.70E+03,3.33E+03,,,,,,,9.37E+02,
ATGA1_HUMAN,,,2.26E+03,3.82E+03,4.35E+03,3.87E+03,3.84E+03,4.33E+03,4.24E+03,2.01E+03,4.09E+03,5.43E+03
NOL10_HUMAN,2.16E+04,2.45E+04,2.49E+04,2.69E+04,1.10E+04,1.06E+04,1.60E+04,1.55E+04,4.16E+04,,4.23E+04,4.21E+04
NTPCR_HUMAN,1.43E+04,9.65E+03,1.63E+04,1.47E+04,1.18E+04,1.50E+04,1.36E+04,1.75E+04,2.06E+04,2.15E+04,2.37E+04,2.61E+04
GCP2_HUMAN,5.29E+03,6.11E+03,9.10E+03,9.20E+03,2.89E+03,3.52E+03,4.27E+03,5.35E+03,4.00E+03,4.60E+03,4.92E+03,5.55E+03
PIMRE_HUMAN,,,,,,1.41E+03,1.13E+03,2.83E+03,,,,7.75E+02
ESYT1_HUMAN,2.24E+04,2.21E+04,2.05E+04,2.07E+04,1.19E+04,1.38E+04,1.54E+04,1.73E+04,1.14E+04,1.16E+04,1.35E+04,1.46E+04
MALD1_HUMAN,,4.69E+03,4.01E+03,5.23E+03,1.89E+04,1.86E+04,2.87E+04,2.28E+04,1.23E+04,1.36E+04,1.39E+04,1.29E+04
UBAC1_HUMAN,4.50E+03,6.38E+03,3.98E+03,4.47E+03,3.81E+03,4.92E+03,4.78E+03,5.17E+03,4.13E+03,3.59E+03,5.46E+03,3.72E+03
CCM2_HUMAN,9.02E+03,9.80E+03,9.48E+03,8.89E+03,1.02E+04,1.33E+04,9.34E+03,1.10E+04,1.50E+04,1.67E+04,1.91E+04,2.00E+04
YIPF4_HUMAN,1.68E+04,1.24E+04,1.21E+04,1.22E+04,4.34E+03,5.43E+03,5.80E+03,5.38E+03,4.02E+03,5.42E+03,6.47E+03,4.93E+03
RTKN_HUMAN,,,,,9.32E+02,1.34E+03,1.81E+03,1.45E+03,7.59E+02,4.91E+02,7.21E+02,
CNPY3_HUMAN,3.66E+03,3.93E+03,3.34E+03,5.17E+03,1.03E+03,,1.36E+03,2.00E+03,2.06E+03,1.43E+03,2.27E+03,2.20E+03
ALG1_HUMAN,4.51E+03,3.61E+03,3.58E+03,2.64E+03,,1.10E+03,1.84E+03,9.89E+02,1.90E+03,,2.23E+03,2.77E+03
LIMD2_HUMAN,3.40E+03,3.22E+03,4.28E+03,5.22E+03,1.21E+03,6.24E+02,1.41E+03,1.64E+03,8.65E+03,8.92E+03,9.31E+03,9.43E+03
NFIP1_HUMAN,1.07E+04,1.01E+04,1.61E+04,1.60E+04,5.57E+03,8.09E+03,9.54E+03,1.27E+04,3.56E+03,4.43E+03,6.22E+03,7.32E+03
PSMG3_HUMAN,3.24E+03,3.36E+03,2.98E+03,3.57E+03,4.25E+03,4.43E+03,5.44E+03,6.30E+03,5.66E+03,5.10E+03,5.48E+03,5.66E+03
CSN4_HUMAN,1.09E+04,1.08E+04,1.19E+04,1.36E+04,1.19E+04,1.37E+04,1.12E+04,1.36E+04,1.25E+04,1.31E+04,1.23E+04,1.46E+04
DCTN5_HUMAN,7.55E+03,7.21E+03,9.69E+03,1.06E+04,4.54E+03,4.97E+03,5.78E+03,5.89E+03,8.09E+03,5.58E+03,9.57E+03,8.47E+03
MCMBP_HUMAN,,6.54E+03,7.51E+03,8.36E+03,6.73E+03,7.15E+03,7.91E+03,9.13E+03,4.41E+03,5.04E+03,5.23E+03,5.92E+03
AASD1_HUMAN,3.93E+03,3.89E+03,3.18E+03,3.42E+03,2.62E+03,3.35E+03,2.45E+03,4.48E+03,,3.50E+03,1.95E+03,2.76E+03
DCNL5_HUMAN,3.01E+03,2.73E+03,6.87E+03,6.14E+03,,1.02E+03,1.61E+03,2.32E+03,1.83E+03,1.86E+03,4.80E+03,5.62E+03
URM1_HUMAN,8.12E+03,7.05E+03,8.22E+03,8.66E+03,1.33E+04,1.33E+04,1.44E+04,1.47E+04,4.91E+03,5.09E+03,7.37E+03,7.24E+03
AN32E_HUMAN,5.72E+03,3.54E+03,7.11E+03,5.77E+03,5.72E+03,5.83E+03,6.55E+03,8.82E+03,3.13E+03,,2.74E+03,3.79E+03
LRRC1_HUMAN,9.44E+03,1.12E+04,1.12E+04,1.12E+04,1.74E+04,1.92E+04,1.69E+04,2.01E+04,1.25E+04,1.28E+04,1.50E+04,1.90E+04
P4K2A_HUMAN,2.38E+04,2.32E+04,3.49E+04,3.59E+04,1.31E+04,1.72E+04,2.05E+04,2.51E+04,1.08E+04,1.27E+04,1.60E+04,1.81E+04
